site_id,lat,lon,pft,parameter,response_var,coefficient_of_variation,elasticity,partial_variance,sensitivity,variance_explained
1e113c95a1054df5,38.0175,-121.19637,temperate.deciduous,Vm_low_temp,TotSoilCarb,0.014858807903720163,1.007405970745851,0.1584376980174096,1.140727096092184,15.843769801740958
1e113c95a1054df5,38.0175,-121.19637,temperate.deciduous,root_allocation_fraction,TotSoilCarb,0.23738709480875567,-0.8328973407138675,0.008842141256399478,-102.80561968331514,0.8842141256399477
1e113c95a1054df5,38.0175,-121.19637,temperate.deciduous,stem_respiration_rate,TotSoilCarb,0.5828612444389611,0.6567274655443647,0.03318106579219787,0.12296186001247233,3.318106579219787
1e113c95a1054df5,38.0175,-121.19637,temperate.deciduous,dVPDSlope,TotSoilCarb,0.5798804473132138,0.5123840380651623,0.016689866684173556,86.50633937494689,1.6689866684173555
1e113c95a1054df5,38.0175,-121.19637,temperate.deciduous,root_turnover_rate,TotSoilCarb,1.2679047931547793,-0.33320375646309636,0.03210267813274803,-1.9527028961800394,3.210267813274803
1e113c95a1054df5,38.0175,-121.19637,temperate.deciduous,coarse_root_respiration_Q10,TotSoilCarb,0.324161378230048,-0.3123208599579421,0.03399171562045733,-0.6460214882476598,3.399171562045733
1e113c95a1054df5,38.0175,-121.19637,temperate.deciduous,fine_root_respiration_Q10,TotSoilCarb,0.3277150105646838,-0.30020207472112886,0.0041379140955894005,-0.41715054551352365,0.41379140955894006
1e113c95a1054df5,38.0175,-121.19637,temperate.deciduous,SLA,TotSoilCarb,0.06401405153954476,-0.25254999511173465,0.001822391342891718,-0.16729292221650677,0.18223913428917182
1e113c95a1054df5,38.0175,-121.19637,temperate.deciduous,veg_respiration_Q10,TotSoilCarb,0.11203934295357594,0.24114942005902404,0.08371355133991454,2.0148926485807492,8.371355133991454
1e113c95a1054df5,38.0175,-121.19637,temperate.deciduous,half_saturation_PAR,TotSoilCarb,0.4281555117378652,-0.13898848171865996,0.06609422499335375,-0.04196513077481055,6.609422499335375
1e113c95a1054df5,38.0175,-121.19637,temperate.deciduous,leafGrowth,TotSoilCarb,0.4756925034638032,-0.12354456117006092,0.0027502170654564837,-0.009554508759097554,0.2750217065456484
1e113c95a1054df5,38.0175,-121.19637,temperate.deciduous,wood_allocation_fraction,TotSoilCarb,0.22785864027208066,0.07010005682314699,0.0012671401393339276,1.751481303297578,0.12671401393339277
1e113c95a1054df5,38.0175,-121.19637,temperate.deciduous,growth_resp_factor,TotSoilCarb,0.523906294012516,0.015489230377295235,0.004506538122804098,0.5569959496847419,0.4506538122804098
1e113c95a1054df5,38.0175,-121.19637,temperate.deciduous,AmaxFrac,TotSoilCarb,0.04832855500482233,0.0056912207181722555,0.006570386107494604,0.05803090855467713,0.65703861074946035
1e782bbd9aba2833,37.96339,-121.41258,grass,fracLeafFall,AbvGrndWood,0.002903402909558214,-70.57220156702613,0.005748215628041322,-342.5457210640722,0.5748215628041322
1e782bbd9aba2833,37.96339,-121.41258,grass,leafC,AbvGrndWood,0.08270831696914949,-13.733087449151318,0.023725674406164188,-0.8725341698820283,2.372567440616419
1e782bbd9aba2833,37.96339,-121.41258,grass,Amax,AbvGrndWood,0.09358925848729428,8.080400260082985,0.003639179158028248,1.8750636839067099,0.3639179158028248
1e782bbd9aba2833,37.96339,-121.41258,grass,AmaxFrac,AbvGrndWood,0.11567497255742348,-6.0332289197193765,0.03010881807748199,-41.239468144726146,3.010881807748199
1e782bbd9aba2833,37.96339,-121.41258,grass,veg_respiration_Q10,AbvGrndWood,0.17439654055315706,4.291895687274475,0.01095052974541145,6.207344165095432,1.095052974541145
1e782bbd9aba2833,37.96339,-121.41258,grass,dVpdExp,AbvGrndWood,0.28697077347762856,-3.865420611238043,0.05454285995145657,-8.255207051760731,5.454285995145657
1e782bbd9aba2833,37.96339,-121.41258,grass,GDD,AbvGrndWood,0.46532505164335386,-3.4824451125327953,0.01987579763347994,-0.010287835685886662,1.987579763347994
